Codigo Postal ,Barrio,Renta bruta media,Renta disponible media
28025,Abrantes,24346,20457
28005,Acacias ,38190,30078
28007,Adelfas,44363,34703
28042,Aeropuerto,47318,36363
28042,Alameda de Osuna,47318,36363
28010,Almagro,72484,54920
28029,Almenara,37311,29556
28026,Almendrales,23674,19926
28047,Aluche,26728,22228
28037,Amposta,26844,22087
28033,Apóstol Santiago,41358,32406
28015,Arapiles,72484,54920
28023,Aravaca,95427,69536
28022,Arcos,33903,27131
28008,Argüelles,56732,43807
28033,Atalaya,32602,26295
28045,Atocha,37311,29556
28039,Bellas Vistas,30000,24354
28039,Berruguete,30000,24354
28054,Buenavista,32633,26325
28021,Butarque,23307,19709
28024,Campamento,27525,22959
28043,Canillas,52890,40039
28042,Canillejas,32592,26286
28011,Casa de Campo,33226.5,26688.5
28042,Casco Histórico de Barajas,47318,36363
28051,Casco Histórico de Vallecas,31463,25500
28032,Casco Histórico de Vicálvaro,29750,24254
28006,Castellana,91283,68569
28046,Castilla ,72809,54526
28020,Castillejos,44741,34930
28045,Chopera,37311,29556
28002,Ciudad Jardín,56565,43426
28040,Ciudad Universitaria,51591,39961
28043,Colina,32612,26305
28019,Comillas,26222,21796
28027,Concepción,36599,29085
28042,Corralejos,47318,36363
28014,Cortes ,45302,35028
28033,Costillares,32607,26300
28020,Cuatro Caminos,44741,34930
28044,Cuatro Vientos,25733,21533
28045,Delicias,37311,29556
28032,El Cañaveral,29750,24254
28049,El Goloso,56746,42843
28035,El Pardo,49002,37574
28029,El Pilar,32550,26246
28023,El Plantío,95427,69536
28006,El Viso,86202,64138
28012,Embajadores,31351,25118
28051,Ensanche de Vallecas,31463,25500
28053,Entrevías,20767,17795
28007,Estrella,44363,34703
28030,Fontarrón,30779,25078
28028,Fuente del Berro,42640,33469
28035,Fuentelarreina,49002,37574
28015,Gaztambide,72484,54920
28001,Goya,95492,71599
28037,Hellín,26844,22087
28016,Hispanoamerica,68463,51338
28030,Horcajo,30779,25078
28009,Ibiza,56904,43765
28005,Imperial,38190,30078
28014,Jerónimos,61845,47443
28004,Justicia,46241,35353
28028,La Guindalera,42640,33469
28029,La Paz,32550,26246
28044,Las Águilas,25733,21533
28045,Legazpi,37311,29556
28006,Lista,91283,68569
28041,Los Ángeles,23307,19709
28011,Los Cármenes,28649,23578
28041,Los Rosales,23307,19709
28011,Lucero,28649,23578
28030,Marroquina,30779,25078
28030,Media Legua,30779,25078
28034,Mirasierra,30784,25246
28026,Moscardó,23674,19926
28009,Niño Jesús,56904,43765
28036,Nueva España,86202,64138
28053,Numancia,20767,17795
28019,Opañel,26222,21796
28041,Orcasitas,24771,20799
28041,Orcasur,24771,20799
28007,Pacífico,44363,34703
28042,Palomas,23637,19885
28053,Palomeras Bajas,20767,17795
28053,Palomeras Sureste,20767,17795
28045,Palos de Moguer,37311,29556
28038,Pavones,22812,19356
28035,Peñagrande,49002,37574
28033,Pinar Del Rey,41358,32406
28043,Piovera,52890,40039
28053,Portazgo,20767,17795
28026,Pradolongo,23674,19926
28002,Prosperidad,56565,43426
28017,Pueblo Nuevo,26357,21889
28025,Puerta Bonita,24346,20457
28011,Puerta del Ángel,28649,23578
28027,Quintana,36599,29085
28001,Recoletos,95492,71599
28022,Rejas,33903,27131
28003,Rios Rosas,54610,41968
28022,Rosas,33903,27131
28021,San Cristóbal,23307,19709
28053,San Diego,20767,17795
28041,San Fermín,24771,20799
28019,San Isidro,26222,21796
28027,San Juan Bautista,36599,29085
28027,San Pascual,36599,29085
28031,Santa Eugenia,31463,25500
28037,Simancas,26844,22087
28013,Sol,46956,36653
28055,Timón,47318,36363
28010,Trafalgar,72484,54920
28015,Universidad,38190,30078
28020,Valdeacederas,44741,34930
28032,Valdebernardo,29750,24254
28055,Valdefuentes,64753,47929
28023,Valdemarín,95427,69536
28032,Valderrivas,29750,24254
28039,Valdezarza,37750.5,29817
28003,Vallehermoso,54610,41968
28034,Valverde,49158,37789
28017,Ventas,26357,21889
28021,Villaverde Alto,23307,19709
28030,Vinateros,30779,25078
28025,Vista Alegre,24346,20457
28026,Zofío,23674,19926
28013,Palacio,46956,36653
