Barrio,Total
PALACIO,23708
EMBAJADORES,47151
CORTES,10760
JUSTICIA,18072
UNIVERSIDAD,33434
SOL,7665
IMPERIAL,22982
ACACIAS,37049
CHOPERA,20356
LEGAZPI,19820
DELICIAS,28379
PALOS DE MOGUER,26344
ATOCHA,1297
PACIFICO,33879
ADELFAS,18886
ESTRELLA,23504
IBIZA,22050
LOS JERONIMOS,7044
NIÑO JESUS,15493
RECOLETOS,15853
GOYA,30050
FUENTE DEL BERRO,21303
GUINDALERA,42445
LISTA,21283
CASTELLANA,17330
EL VISO,17486
PROSPERIDAD,37041
CIUDAD JARDIN,18970
HISPANOAMERICA,32201
NUEVA ESPAÑA,25105
CASTILLA,17316
BELLAS VISTAS,29993
CUATRO CAMINOS,35395
CASTILLEJOS,20870
ALMENARA,23134
VALDEACEDERAS,26607
BERRUGUETE,25943
GAZTAMBIDE,23446
ARAPILES,24770
TRAFALGAR,25117
ALMAGRO,19900
RIOS ROSAS,27671
VALLEHERMOSO,20480
EL PARDO,3496
FUENTELARREINA,3331
PEÑA GRANDE,45083
EL PILAR,47024
LA PAZ,33713
VALVERDE,64937
MIRASIERRA,34166
EL GOLOSO,19121
CASA DE CAMPO,13239
ARGUELLES,24556
CIUDAD UNIVERSITARIA,16394
VALDEZARZA,30590
VALDEMARIN,6963
EL PLANTIO,2830
ARAVACA,27602
LOS CARMENES,17795
PUERTA DEL ANGEL,42512
LUCERO,36984
ALUCHE,67746
CAMPAMENTO,19956
CUATRO VIENTOS,5909
LAS AGUILAS,52182
COMILLAS,23040
OPAÑEL,33857
SAN ISIDRO,40247
VISTA ALEGRE,47757
PUERTA BONITA,36157
BUENAVISTA,48274
ABRANTES,32145
ORCASITAS,23254
ORCASUR,14236
SAN FERMIN,24032
ALMENDRALES,22223
MOSCARDO,27207
ZOFIO,14465
PRADOLONGO,17949
ENTREVIAS,35668
SAN DIEGO,44118
PALOMERAS BAJAS,41034
PALOMERAS SURESTE,43349
PORTAZGO,29094
NUMANCIA,48697
PAVONES,9197
HORCAJO,6453
MARROQUINA,27297
MEDIA LEGUA,17967
FONTARRON,17611
VINATEROS,17203
VENTAS,49148
PUEBLO NUEVO,63794
QUINTANA,25249
CONCEPCION,21231
SAN PASCUAL,18162
SAN JUAN BAUTISTA,12760
COLINA,6552
ATALAYA,1566
COSTILLARES,22336
PALOMAS,6884
PIOVERA,14942
CANILLAS,40944
PINAR DEL REY,53400
APOSTOL SANTIAGO,15643
VALDEFUENTES,62376
VILLAVERDE ALTO C.H.,46991
SAN CRISTOBAL,16969
BUTARQUE,20180
LOS ROSALES,38282
LOS ANGELES,32785
CASCO H.VALLECAS,41125
SANTA EUGENIA,24746
ENSANCHE DE VALLECAS,49290
CASCO H.VICALVARO,35894
VALDEBERNARDO,17851
VALDERRIVAS,18195
EL CAÑAVERAL,2479
SIMANCAS,28799
HELLIN,9375
AMPOSTA,8940
ARCOS,24855
ROSAS,31903
REJAS,17328
CANILLEJAS,29171
ALAMEDA DE OSUNA,19873
AEROPUERTO,1911
CASCO H.BARAJAS,7735
TIMON,12942
CORRALEJOS,7808
