,Titulares,NUMERO DECLARACIONES,NUMERO HABITANTES,POSICIONAMIENTO RENTA BRUTA MEDIA NIVEL NACIONAL,POSICIONAMIENTO RENTA BRUTA MEDIA NIVEL AUTONOMICO,RENTA BRUTA MEDIA,RENTA DISPONIBLE MEDIA 
Pozuelo de Alarcón-28115,"49,613","45,305","86,422",2,1,"79,506","58,143"
Boadilla del Monte-28022,"29,707","27,145","54,570",3,2,"61,910","46,386"
Alcobendas-28006,"61,878","55,393","117,040",4,3,"60,842","45,580"
Majadahonda-28080,"39,283","35,667","71,826",7,4,"54,506","41,427"
Torrelodones-28152,"12,913","11,742","23,717",9,5,"54,123","40,986"
Villanueva de la Cañada-28176,"10,720","9,522","21,445",10,6,"52,826","40,680"
"Rozas de Madrid, Las-28127","54,494","49,715","95,814",13,7,"51,776","39,463"
Valdemorillo-28160,"7,558","6,669","12,518",14,8,"51,102","40,582"
Villaviciosa de Odón-28181,"15,878","14,280","27,835",20,9,"45,241","35,292"
San Agustín del Guadalix-28129,"6,899","6,189","13,379",25,10,"43,708","33,864"
Venturada-28169,"1,182","1,072","2,163",30,11,"42,259","32,856"
Tres Cantos-28903,"29,350","26,963","47,722",31,12,"42,248","32,898"
Paracuellos de Jarama-28104,"14,121","12,916","25,269",35,13,"41,284","32,342"
Cobeña-28041,"4,014","3,619","7,428",36,14,"40,968","32,072"
Madrid-28079,"1,905,667","1,736,865","3,266,126",37,15,"40,083","31,521"
Algete-28009,"11,396","9,951","20,611",40,16,"39,548","31,017"
Hoyo de Manzanares-28072,"4,727","4,224","8,434",41,17,"39,465","31,079"
Villanueva del Pardillo-28177,"9,126","8,224","17,180",43,18,"39,129","30,676"
Soto del Real-28144,"4,755","4,219","8,799",54,19,"37,649","29,821"
Valdeolmos-Alalpardo-28162,"2,273","2,058","4,136",59,20,"37,155","29,511"
San Sebastián de los Reyes-28134,"52,517","47,073","89,276",64,21,"36,395","28,764"
Navacerrada-28093,"1,571","1,397","2,972",75,22,"35,035","27,976"
Collado Mediano-28046,"3,965","3,530","6,958",77,23,"34,892","27,810"
Galapagar-28061,"18,828","16,742","33,742",80,24,"34,686","27,737"
Moralzarzal-28090,"7,000","6,262","13,026",87,25,"34,177","27,477"
Alpedrete-28010,"8,248","7,403","14,575",89,26,"33,930","27,290"
Colmenar Viejo-28045,"28,667","25,666","50,752",93,27,"33,541","26,986"
Villalbilla-28172,"8,351","7,478","13,878",94,28,"33,430","26,831"
